Order ID,OrderDate,Gender,Phone,City,State,Product,Category,Customer Segment,Sales Channel,Quantity,Unit Price,Discount,Revenue,Cost,Profit,Payment,Salesperson,Order Status,Customer Rating,Delivery Days,Returned,Customer Satisfaction
ORD10022,17/04/2026,Male,6101637979,Trichy,Tamil Nadu,Laptop,Electronics,Corporate,Direct Sales,4,55000,3,213400,179515.77,33884.23,Debit Card,Rahul,Completed,3,6,No,4
ORD10023,25/09/2025,Male,6465585404,Delhi,Delhi,Webcam,Accessories,Small business,Distributor,1,3500,0,3500,2906.71,593.29,EMI,Sneha,Returned,5,9,Yes,3.2
ORD10024,02/01/2025,Female,7852408227,Mumbai,Maharashtra,SSD,Storage,Consumer,Distributor,5,6500,0,32500,25678.53,6821.47,Cash,Sneha,Completed,,5,No,4
ORD10025,07/03/2026,Other,8444288473,Coimbatore,Tamil Nadu,Printer,Office Equipment,Small Business,Direct Sales,5,12000,10,54000,39032.94,14967.06,Cash,Arun,Cancelled,3,4,No,4.4
ORD10026,07/08/2025,Other,6364194056,Delhi,Delhi,SSD,Storage,Small Business,Distributor,8,6500,8,47840,37758.15,10081.85,UPI,Divya,Cancelled,2,4,Yes,2.1
ORD10027,07/10/2026,M,7716495971,Trichy,Tamil Nadu,Mouse,Accessories,Corporate,Retail Store,2,900,8,1656,1295.04,360.96,EMI,Arun,Completed,4,4,Yes,4.4
ORD10028,05/05/2025,Other,8281194061,Trichy,Tamil Nadu,Webcam,Accessories,Small Business,Direct Sales,1,3500,10,3150,2379.33,770.67,Cash,Suresh,Returned,5,8,Yes,4.2
ORD10029,15/10/2026,Other,7027553177,Trichy,Tamil Nadu,Smartphone,Electronics,Small Business,Direct Sales,5,32000,20,128000,108694.01,19305.99,UPI,Rahul,Pending,3,6,No,4.7
ORD10030,06/06/2025,Female,7750625978,Hyderabad,Telangana,Monitor,Electronics,Small Business,Direct Sales,3,18000,3,52380,38444.14,13935.86,Net Banking,Arun,Pending,4,7,Yes,4.6
ORD10031,02/11/2025,Other,9155229266,Coimbatore,Tamil Nadu,SSD,Storage,Corporate,Direct Sales,8,6500,0,52000,44005.42,7994.58,Credit Card,Rahul,Returned,4,1,No,3
ORD10032,01/07/2026,Other,8847562279,Hyderabad,Telangana,Tablet,Electronics,Consumer,Online,8,28000,3,217280,191603.61,25676.39,EMI,Vijay,Pending,4,3,Yes,2.8
ORD10033,24/01/2026,Male,8019952485,Mumbai,Maharashtra,Printer,Office Equipment,Consumer,Online,8,12000,5,91200,67296.01,23903.99,Debit Card,Divya,Completed,,1,Yes,4.8
ORD10034,17/11/2026,Female,9004179184,Chennai,Tamil Nadu,Mouse,Accessories,Small Business,Distributor,3,900,3,2619,1755.79,863.21,Credit Card,Anitha,Completed,2,5,Yes,3.7
ORD10035,23/07/2025,Male,8994421136,Madurai,Tamil Nadu,Headset,Accessories,Small Business,Online,7,2200,8,14168,13027.68,1140.32,Cash,Arun,Cancelled,5,7,No,2.2
ORD10036,20/03/2026,Other,6657091982,Chennai,Tamil Nadu,Printer,Office Equipment,Enterprise,Retail Store,7,12000,20,67200,61962.47,5237.53,EMI,Suresh,Cancelled,5,9,No,3.4
ORD10037,30/03/2025,Female,8447485590,Pune,Maharashtra,SSD,Storage,Enterprise,Distributor,6,6500,20,31200,26477.83,4722.17,UPI,Meena,Cancelled,2,8,Yes,3.1
ORD10038,10/10/2025,Male,6367704871,Delhi,Delhi,Headset,Accessories,Corporate,Direct Sales,5,2200,10,9900,8671.13,1228.87,Net Banking,Suresh,Pending,,8,No,3.3
ORD10039,07/09/2025,Female,8032638323, CHENNAI ,Karnataka,Laptop,Electronics,Small Business,Direct Sales,5,55000,3,266750,197190.47,69559.53,EMI,Suresh,Cancelled,3,12,No,2.8
ORD10040,03/05/2025,Male,6929364954,Mumbai,Maharashtra,Headset,Accessories,Enterprise,Distributor,2,2200,15,3740,2931.37,808.63,EMI,Anitha,Cancelled,1,4,No,2.7
ORD10041,08/10/2025,Female,8995384868,Pune,Maharashtra,Keyboard,Accessories,Corporate,Direct Sales,1,1800,15,1530,1346.75,183.25,UPI,Arun,Cancelled,4,8,No,3
ORD10042,15/02/2026,Other,8948284698,Pune,Maharashtra,Laptop,Electronics,Consumer,Retail Store,8,55000,0,440000,359615.41,80384.59,Credit Card,Anitha,Cancelled,1,4,Yes,3.7
ORD10043,07/04/2026,Female,7311598149,Madurai,Tamil Nadu,Tablet,Electronics,Consumer,Online,4,28000,20,,83486.75,6113.25,Credit Card,Divya,Cancelled,,2,Yes,2.7
ORD10044,07/12/2026,Male,6994182853,chennai,Karnataka,Webcam,Accessories,Small Business,Distributor,3,3500,0,10500,7539.46,2960.54,EMI,Meena,Completed,,4,No,4.4
ORD10045,26/10/2026,Male,6256143439,Mumbai,Maharashtra,SSD,Storage,Corporate,Distributor,7,6500,0,45500,34156.62,11343.38,Cash,Anitha,Cancelled,4,2,No,4.1
ORD10046,10/02/2025,Other,,Pune,Maharashtra,Tablet,Electronics,Consumer,Online,8,28000,8,206080,143204.55,62875.45,Credit Card,Anitha,Completed,,5,Yes,4.3
ORD10047,23/08/2026,Male,8018679284,Trichy,Tamil Nadu,Keyboard,Accessories,Small Business,Direct Sales,8,1800,5,13680,9555.23,4124.77,Debit Card,Sneha,Completed,2,6,No,4.1
ORD10048,16/09/2025,Other,9543035341,Coimbatore,Tamil Nadu,Headset,Accessories,Consumer,Direct Sales,1,2200,8,2024,1410.5,613.5,Net Banking,Arun,Pending,5,6,No,3.9
ORD10049,22/10/2025,Male,6123993296,Mumbai,Maharashtra,Laptop,Electronics,Corporate,Retail Store,5,55000,10,247500,179146.87,68353.13,Debit Card,Suresh,Completed,5,7,Yes,2.7
ORD10050,26/05/2026,Other,7174350979,Trichy,Tamil Nadu,Monitor,Electronics,Enterprise,Direct Sales,2,18000,15,30600,29509.72,1090.28,Net Banking,Divya,Returned,5,3,No,2.6
ORD10051,01/03/2026,Male,7214784185,Kochi,Kerala,SSD,Storage,Small Business,Direct Sales,3,6500,20,15600,12416.71,3183.29,Credit Card,Meena,Returned,3,6,No,3.4
ORD10052,25/02/2026,Other,9923152675,Mumbai,Maharashtra,Printer,Office Equipment,Enterprise,Direct Sales,4,12000,10,43200,34171.82,9028.18,EMI,Karthik,Returned,1,3,No,4.6
ORD10053,24/02/2026,,9356625550,Bangalore,Karnataka,Smartphone,Electronics,Small Business,Distributor,8,32000,0,256000,203106.95,52893.05,Cash,Vijay,Completed,3,11,No,4.9
ORD10054,09/10/2026,Other,6388176285,Kochi,Kerala,Smartphone,Electronics,Enterprise,Online,1,32000,10,28800,20365.47,8434.53,EMI,Priya,Returned,2,12,No,4.7
ORD10055,18/03/2026,Female,8430642523,Delhi,Delhi,Laptop,Electronics,Corporate,Retail Store,1,55000,5,52250,38831.72,13418.28,Credit Card,Priya,Returned,5,11,Yes,3.5
ORD10056,16/04/2026,Female,9870665004,Hyderabad,Telangana,SSD,Storage,Small Business,Retail Store,4,6500,8,23920,20100.52,3819.48,UPI,Meena,Cancelled,5,5,No,4.1
ORD10057,20/04/2025,Female,8468798461,Pune,Maharashtra,Smartphone,Electronics,Small Business,Distributor,4,32000,8,117760,105574.47,12185.53,UPI,Vijay,Cancelled,1,10,Yes,4.7
ORD10058,13/08/2025,Female,8910976189,Pune,Maharashtra,Smartphone,Electronics,Corporate,Online,4,32000,10,115200,103995.35,11204.65,EMI,Arun,Cancelled,4,1,No,4.2
ORD10059,25/07/2025,Other,8155192095,Pune,Maharashtra,Monitor,Electronics,Small Business,Retail Store,6,18000,15,91800,77729.84,14070.16,Debit Card,Meena,Cancelled,,6,Yes,3.4
ORD10060,22/11/2026,Male,9395953188,Hyderabad,Telangana,Monitor,Electronics,Enterprise,Online,4,18000,20,57600,56326.87,1273.13,Debit Card,Suresh,Completed,4,6,No,3.8
ORD10061,29/07/2026,Other,6271515109,Bangalore,Karnataka,Printer,Office Equipment,Enterprise,Distributor,4,12000,8,44160,30048.28,14111.72,EMI,Vijay,Completed,2,1,Yes,2.9
ORD10062,19/05/2025,Other,9191762519,Bangalore,Karnataka,Smartphone,Electronics,Enterprise,Retail Store,2,32000,3,62080,53308.3,8771.7,Net Banking,Priya,Returned,5,7,No,2.1
ORD10063,07/01/2026,Other,9872755741,Mumbai,Maharashtra,Printer,Office Equipment,Small Business,Online,8,12000,8,88320,81420.79,6899.21,Net Banking,Rahul,Pending,1,8,Yes,4
ORD10064,09/05/2025,Other,6889734128,Chennai,Tamil Nadu,SSD,Storage,Corporate,Retail Store,1,6500,20,5200,4550.27,649.73,Debit Card,Karthik,Completed,3,3,Yes,3.6
ORD10065,01/09/2025,Male,7139744790,Bangalore,Karnataka,Keyboard,Accessories,Consumer,Retail Store,1,1800,3,1746,1122.42,623.58,EMI,Vijay,Completed,,2,No,3.3
ORD10066,22/09/2026,Female,7967277638,Kochi,Kerala,Printer,Office Equipment,Consumer,Online,2,12000,8,22080,17782.11,4297.89,Net Banking,Vijay,Returned,,2,No,4.1
ORD10067,09/03/2025,Other,8514122177,Bangalore,Karnataka,Smartphone,Electronics,Small Business,Direct Sales,,32000,5,60800,49023.45,11776.55,Cash,Suresh,Cancelled,4,9,No,2.3
ORD10068,22/08/2025,Female,7786661942,Bengaluru,Kerala,Monitor,Electronics,Consumer,Distributor,4,18000,8,66240,52442.87,13797.13,Net Banking,Sneha,Cancelled,3,3,No,2.2
ORD10069,17/01/2026,M,8411995282,Bangalore,Karnataka,Monitor,Electronics,Small Business,Online,7,18000,0,126000,100636.37,25363.63,Net Banking,Sneha,Returned,,1,No,3.8
ORD10070,18/08/2025,Female,6493428666,Bangalore,Karnataka,Printer,Office Equipment,Small Business,Retail Store,4,12000,3,46560,37325.6,9234.4,Net Banking,Suresh,Completed,5,11,No,2.1
ORD10071,27/05/2025,Male,6609346980,Pune,Maharashtra,Headset,Accessories,Consumer,Online,6,2200,5,12540,8203.34,4336.66,EMI,Suresh,Pending,4,7,No,3
ORD10072,03/09/2026,Male,9240277427,Pune,Maharashtra,Printer,Office Equipment,Consumer,Online,6,12000,20,57600,60907.52,-3307.52,Debit Card,Meena,Returned,4,10,No,3.2
ORD10073,18/10/2025,Female,8263164755,Kochi,Kerala,Mouse,Accessories,Small Business,Online,2,900,5,1710,1301.72,408.28,Credit Card,Vijay,Completed,1,4,No,4.8
ORD10074,25/05/2026,Male,7632978535,Pune,Maharashtra,Keyboard,Accessories,Corporate,Distributor,5,1800,5,8550,5839.17,2710.83,UPI,Vijay,Completed,4,1,No,4.8
ORD10075,18/10/2026,Female,6089578218,Madurai,Tamil Nadu,Printer,Office Equipment,Small Business,Retail Store,7,12000,10,75600,60233.17,15366.83,Cash,Meena,Cancelled,1,7,Yes,2.7
ORD10076,14/12/2025,Male,8192509020,Coimbatore,Tamil Nadu,SSD,Storage,Consumer,Retail Store,2,6500,8,11960,10776.04,1183.96,Debit Card,Sneha,Pending,2,2,Yes,2.8
ORD10077,19/03/2025,Female,9240320145,Madurai,Tamil Nadu,Keyboard,Accessories,Enterprise,Distributor,3,1800,20,4320,4331.86,-11.86,EMI,Sneha,Pending,4,2,No,3.3
ORD10078,14/11/2025,Male,7583715924,Pune,Maharashtra,Headset,Accessories,Small Business,Online,1,2200,5,2090,1631.87,458.13,EMI,Priya,Returned,4,10,Yes,3.3
ORD10079,04/06/2025,Female,9067961943,Mumbai,Maharashtra,SSD,Storage,Consumer,Retail Store,6,6500,10,35100,28631.89,6468.11,UPI,Divya,Returned,4,9,Yes,3.1
ORD10080,05/09/2026,Male,7416011033,Coimbatore,Tamil Nadu,Headset,Accessories,Consumer,Direct Sales,7,2200,20,12320,10798.6,1521.4,Debit Card,Rahul,Pending,3,2,Yes,4.8
ORD10081,28/03/2025,Other,9400162238,Coimbatore,Tamil Nadu,Headset,Accessories,Small Business,Retail Store,3,2200,10,5940,5214.79,725.21,EMI,Suresh,Completed,,11,No,3.5
ORD10082,16/12/2025,Male,6665484476,Delhi,Delhi,Laptop,Electronics,Consumer,Distributor,5,55000,3,266750,233277.17,33472.83,UPI,Suresh,Completed,,6,Yes,3.8
ORD10083,02/10/2026,Male,7764624310,Hyderabad,Telangana,Keyboard,Accessories,Small Business,Retail Store,3,1800,20,4320,4245.93,74.07,Net Banking,Anitha,Cancelled,,8,Yes,3.6
ORD10084,08/08/2026,Female,8159967797,Trichy,Tamil Nadu,Headset,Accessories,Enterprise,Retail Store,4,2200,5,8360,6888.58,1471.42,Credit Card,Anitha,Pending,3,1,No,4.6
ORD10085,14/06/2025,Male,9569318475,Bangalore,Karnataka,Webcam,Accessories,Enterprise,Online,2,3500,5,6650,4480.91,2169.09,Credit Card,Meena,Cancelled,1,7,Yes,3.2
ORD10086,29/01/2025,Male,6590985753,Mumbai,Maharashtra,Printer,Office Equipment,SMB,Distributor,7,12000,0,84000,59638.24,24361.76,Net Banking,Karthik,Returned,4,10,Yes,4.7
ORD10087,16/09/2026,Female,7020657023,Pune,Maharashtra,Laptop,Electronics,Small Business,Online,4,55000,20,176000,144294.64,31705.36,UPI,Divya,Returned,,10,No,2.2
ORD10088,05/09/2025,Female,6006718781,Madurai,Tamil Nadu,Smartphone,Electronics,Small Business,Retail Store,1,32000,15,27200,23798.09,3401.91,Cash,Vijay,Pending,,11,Yes,3.6
ORD10089,14/02/2025,Female,9209700340,Bangalore,Karnataka,Printer,Office Equipment,Consumer,Distributor,1,12000,8,11040,9955.19,1084.81,UPI,Sneha,Pending,,11,Yes,4.3
ORD10090,21/10/2026,Other,8055275742,Hyderabad,Telangana,Printer,Office Equipment,Corporate,Retail Store,1,12000,5,11400,9012.52,2387.48,UPI,Meena,Completed,3,4,Yes,4.4
ORD10091,11/07/2026,Other,9876543210,Delhi,Delhi,Laptop,Electronics,Small Business,Distributor,5,55000,10,247500,196782.79,50717.21,UPI,Sneha,Cancelled,1,6,No,4.7
ORD10092,25/05/2026,Male,9122790501,Coimbatore,Tamil Nadu,Smartphone,Electronics,Enterprise,Online,6,32000,3,186240,141905.04,44334.96,Net Banking,Anitha,Pending,5,5,No,2.3
ORD10093,13/03/2026,Female,7920407276,Pune,Maharashtra,Printer,Office Equipment,Consumer,Distributor,5,12000,8,55200,45877.75,9322.25,Cash,Vijay,Cancelled,,1,Yes,4
ORD10094,15/09/2026,Male,6288765093,Delhi,Delhi,Tablet,Electronics,Corporate,Distributor,3,28000,0,84000,54958.43,29041.57,Debit Card,Vijay,Completed,5,3,No,4.8
ORD10095,11/01/2026,Male,6487258103,Trichy,Tamil Nadu,Printer,Office Equipment,Consumer,Retail Store,2,12000,10,21600,15673.12,5926.88,Net Banking,Suresh,Returned,5,2,No,4.3
ORD10096,18/05/2026,Male,7941508568,Mumbai,Maharashtra,Smartphone,Electronics,Corporate,Direct Sales,5,32000,15,136000,134392.79,1607.21,UPI,Sneha,Cancelled,,2,No,4.7
ORD10097,25/07/2025,Male,7550038771,Hyderabad,Telangana,Keyboard,Accessories,Small Business,Direct Sales,6,1800,10,9720,7277.23,2442.77,Cash,Karthik,Completed,1,5,No,5
ORD10098,12/08/2026,Other,6318536327,Kochi,Kerala,Smartphone,Electronics,Enterprise,Direct Sales,7,32000,20,179200,160891.15,18308.85,EMI,Suresh,Cancelled,2,9,Yes,4.3
ORD10099,06/06/2025,Female,9046558332,Coimbatore,Tamil Nadu,Keyboard,Accessories,Corporate,Distributor,1,1800,20,1440,1169.64,270.36,Cash,Rahul,Completed,3,4,No,2.4
ORD10100,30/08/2026,Other,8682117678,Madurai,Tamil Nadu,Headset,Accessories,Small Business,Online,2,2200,10,3960,3404.88,555.12,UPI,Priya,Completed,,10,No,4
ORD10101,13/07/2026,Female,7051742593,Coimbatore,Tamil Nadu,SSD,Storage,Enterprise,Distributor,1,6500,8,5980,5416.84,563.16,Net Banking,Priya,Completed,2,8,No,3.5
ORD10102,23/11/2025,Male,9267031264,Delhi,Delhi,Mouse,Accessories,Small Business,Online,3,900,5,2565,2232.24,332.76,Debit Card,Divya,Returned,1,5,No,2.7
ORD10103,05/03/2026,Other,9097223039,Chennai,Tamil Nadu,Monitor,Electronics,Small Business,Retail Store,5,18000,8,82800,74465.94,8334.06,Credit Card,Meena,Returned,4,5,No,2.1
ORD10104,28/12/2025,Female,8566323583,Kochi,Kerala,Tablet,Electronics,Enterprise,Distributor,8,28000,3,217280,150446.16,66833.84,Cash,Arun,Completed,4,3,No,4.2
ORD10105,30/07/2026,Female,6315816454,Delhi,Delhi,Tablet,Electronics,Enterprise,Direct Sales,,28000,8,25760,17703.78,8056.22,Cash,Rahul,Completed,2,2,No,3.1
ORD10106,09/09/2026,Male,6194576436,Kochi,Kerala,Printer,Office Equipment,Consumer,Retail Store,6,12000,20,57600,47132.94,10467.06,EMI,Sneha,Returned,5,8,Yes,3.8
ORD10107,07/02/2026,Other,7444712976,Hyderabad,Telangana,Webcam,Accessories,Enterprise,Distributor,6,3500,10,18900,14625.39,4274.61,Net Banking,Arun,Cancelled,3,11,Yes,4.9
ORD10108,03/11/2026,Other,6220568746,Pune,Maharashtra,SSD,Storage,Enterprise,Retail Store,1,6500,10,5850,4770.36,1079.64,Cash,Anitha,Returned,2,11,Yes,2.1
ORD10109,05/06/2025,Female,8155298355,Mumbai,Maharashtra,Monitor,Electronics,Enterprise,Online,1,18000,8,16560,12515.15,4044.85,EMI,Karthik,Pending,5,6,No,3.6
ORD10110,29/12/2025,Other,8079537716,Hyderabad,Telangana,Printer,Office Equipment,Corporate,Retail Store,8,12000,10,86400,67407.21,18992.79,Debit Card,Suresh,Cancelled,2,5,No,4.1
ORD10111,08/10/2025,Other,8332987057,Delhi,Delhi,Smartphone,Electronics,Enterprise,Direct Sales,8,32000,5,243200,193156.36,50043.64,Debit Card,Karthik,Cancelled,1,5,Yes,3
ORD10112,06/07/2026,Male,6469124598,Pune,Maharashtra,Smartphone,Electronics,Corporate,Retail Store,8,32000,3,248320,171135.06,77184.94,UPI,Suresh,Pending,,4,Yes,2.3
ORD10113,06/01/2025,Other,9782352003,Trichy,Tamil Nadu,Printer,Office Equipment,Enterprise,Direct Sales,2,12000,15,20400,19319.61,1080.39,EMI,Divya,Cancelled,3,5,Yes,4.7
ORD10114,08/02/2025,Male,9591465377,Madurai,Tamil Nadu,Monitor,Electronics,Enterprise,Direct Sales,4,18000,10,64800,57404.5,7395.5,Credit Card,Rahul,Completed,1,5,Yes,4.8
ORD10115,21/05/2026,Female,6828118650,Pune,Maharashtra,Printer,Office Equipment,Corporate ,Distributor,8,12000,15,81600,72037.64,9562.36,Credit Card,Meena,Cancelled,,3,Yes,4.2
ORD10116,17/10/2026,Female,9876543210,Madurai,Tamil Nadu,Headset,Accessories,Enterprise,Online,4,2200,3,8536,6746.34,1789.66,Credit Card,Karthik,Returned,3,4,Yes,2.8
ORD10117,10/08/2026,Other,7014911848,Trichy,Tamil Nadu,Mouse,Accessories,Consumer,Online,5,900,5,4275,3116.1,1158.9,Net Banking,Rahul,Pending,4,11,No,4.1
ORD10118,05/05/2026,Female,7786043319,Delhi,Delhi,Headset,Accessories,Enterprise,Retail Store,4,2200,3,8536,7477.95,1058.05,Credit Card,Anitha,Completed,5,8,No,2.2
ORD10119,02/06/2026,Male,6706681697,Bangalore,Karnataka,SSD,Storage,Small Business,Direct Sales,1,6500,20,5200,4884.33,315.67,UPI,Divya,Returned,1,9,No,4.4
ORD10120,27/07/2026,Other,6093503397,Hyderabad,Telangana,Smartphone,Electronics,Enterprise,Distributor,7,32000,8,206080,169195.87,36884.13,UPI,Divya,Completed,1,7,No,4.1
ORD10121,23/02/2026,Female,9828248698,Chennai,Tamil Nadu,Webcam,Accessories,Enterprise,Direct Sales,2,3500,8,6440,4393.31,2046.69,Net Banking,Vijay,Completed,,11,Yes,4
ORD10122,11/05/2025,Male,7281459294,Bangalore,Karnataka,Printer,Office Equipment,Enterprise,Direct Sales,3,12000,10,32400,25716.03,6683.97,Cash,Vijay,Pending,2,8,No,2.5
ORD10123,22/09/2026,Male,6433348075,Bangalore,Karnataka,Mouse,Accessories,Consumer,Direct Sales,1,900,20,720,700.6,19.4,Cash,Arun,Pending,,1,No,3.3
ORD10124,24/10/2025,Female,8480235438,Mumbai,Maharashtra,Webcam,Accessories,Small Business,Retail Store,1,3500,3,3395,2593.27,801.73,Debit Card,Karthik,Pending,4,5,No,2.2
ORD10125,19/12/2025,Other,7368954072,Hyderabad,Telangana,SSD,Storage,Enterprise,Direct Sales,7,6500,10,40950,33622.18,7327.82,Credit Card,Rahul,Returned,2,9,No,2.7
ORD10126,01/03/2025,Other,8276297510,Pune,Maharashtra,Mouse,Accessories,Corporate,Direct Sales,3,900,20,2160,1974.04,185.96,Credit Card,Rahul,Pending,3,11,Yes,4.8
ORD10127,21/11/2026,Male,6808155185,Bangalore,Karnataka,Printer,Office Equipment,Corporate,Direct Sales,4,12000,0,48000,32852.68,15147.32,Credit Card,Sneha,Cancelled,1,4,Yes,4.9
ORD10128,29/07/2025,Female,9330806782,Trichy,Tamil Nadu,Monitor,Electronics,Small Business,Direct Sales,4,18000,15,61200,55084.06,6115.94,Net Banking,Suresh,Cancelled,3,5,No,3.5
ORD10129,26/04/2026,Female,7777816561,Trichy,Tamil Nadu,Smartphone,Electronics,Consumer,Retail Store,2,32000,20,51200,54753.05,-3553.05,EMI,Karthik,Completed,,9,No,2.9
ORD10130,09/09/2025,Female,9278608906,Delhi,Delhi,Mouse,Accessories,Enterprise,Direct Sales,4,900,8,3312,2724.3,587.7,Net Banking,Karthik,Cancelled,2,3,No,2.6
ORD10131,16/11/2026,Male,9618701993,Chennai,Tamil Nadu,Webcam,Accessories,Corporate,Online,1,3500,20,2800,2881.23,-81.23,EMI,Karthik,Completed,2,9,No,3.1
ORD10132,07/01/2025,Male,6071838242,Madurai,Tamil Nadu,SSD,Storage,Small Business,Distributor,8,6500,15,44200,38328.42,5871.58,UPI,Suresh,Returned,2,2,Yes,3.6
ORD10133,11/02/2026,Female,8426665919,Mumbai,Maharashtra,Mouse,Accessories,Corporate,Retail Store,5,900,20,3600,3172.8,427.2,Debit Card,Priya,Completed,1,7,No,3.1
ORD10134,27/05/2026,Other,9684911471,Chennai,Tamil Nadu,Smartphone,Electronics,Consumer,Online,1,32000,15,27200,21156.23,6043.77,Credit Card,Divya,Returned,3,1,Yes,4.1
ORD10135,19/11/2025,Male,9230908336,Kochi,Kerala,Headset,Accessories,Enterprise,Online,1,2200,3,2134,1854.39,279.61,Debit Card,Karthik,Pending,5,7,No,3.2
ORD10136,26/08/2025,Other,8558119733,Bangalore,Karnataka,Keyboard,Accessories,Enterprise,Distributor,6,1800,0,10800,6949.2,3850.8,UPI,Rahul,Returned,4,4,No,3.7
ORD10137,25/01/2026,Male,9062777850,Coimbatore,Tamil Nadu,Tablet,Electronics,Consumer,Online,3,28000,15,71400,63891.24,7508.76,Debit Card,Karthik,Returned,,11,Yes,4.2
ORD10138,12/11/2025,Male,6569113257,Delhi,Delhi,Printer,Office Equipment,Consumer,Retail Store,2,12000,0,24000,14909.92,9090.08,Net Banking,Meena,Returned,1,1,Yes,3.1
ORD10139,26/10/2025,Other,9870349834,Madurai,Tamil Nadu,Monitor,Electronics,Corporate,Retail Store,6,18000,20,86400,76945.37,9454.63,EMI,Vijay,Pending,2,5,No,2.8
ORD10140,03/11/2025,Female,7059096258,Bangalore,Karnataka,Keyboard,Accessories,Enterprise,Retail Store,3,1800,8,4968,3705.65,1262.35,Net Banking,Priya,Pending,3,1,No,3
